epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
134,True,118,99,20000,0,23.74594,0.2054,0.8389831,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
135,True,119,100,12074,17.73495,26.85353,0.06493291,0.8403361,47.19158,-2.635643,45.50165,-3.375626,63.22458,-2.725166
136,True,119,100,20000,0,20.96414,0.2265,0.8403361,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,True,120,101,9090,22.12346,39.60977,0.0,0.8416666,40.56869,-28.93623,41.91916,-30.07115,37.64156,-8.365234
138,True,121,102,13798,43.47568,31.00631,0.07203943,0.8429752,3.307304,-37.67748,5.042862,-38.09939,37.98534,-9.728165
139,True,122,103,8814,62.96664,31.13782,0.1409122,0.8442623,10.87324,-61.08083,12.20414,-60.59982,47.22876,-8.273285
140,True,123,104,6632,70.09055,44.23726,0.07629675,0.8455285,38.48949,-2.680656,40.25357,-3.291626,13.20748,-67.95362
141,True,124,105,4676,29.21053,21.70002,0.4136014,0.8467742,68.60165,-15.84441,66.95642,-16.50387,42.70212,-32.78172
142,True,125,106,3918,41.27488,35.05459,0.0,0.848,44.88184,-13.5603,43.77341,-14.88253,3.241737,-7.088646
143,True,126,107,6438,23.14579,27.42731,0.1699286,0.8492063,68.59712,-6.835091,66.94815,-6.152222,44.92764,-13.28031
144,True,127,108,918,58.01162,41.19255,0.0,0.8503937,14.93933,-67.91949,16.40454,-66.80374,42.4292,-14.95763
145,True,128,109,6608,65.71735,27.92776,0.3395884,0.8515625,3.291565,-35.40771,4.549362,-36.73455,60.78676,-2.732704
146,True,129,110,188,25.59777,27.23924,0.0,0.8527132,29.23313,-45.54293,30.24879,-46.66979,48.59956,-28.82369
147,True,130,110,2108,7.135862,6.993231,0.9686907,0.8461539,44.84406,-67.93315,44.81782,-66.26121,45.55298,-59.1639
148,True,131,111,7818,33.85073,15.85448,0.4717319,0.8473282,21.76308,-50.4862,23.6476,-50.56934,48.28186,-27.35263
149,True,132,112,2372,37.62845,22.71452,0.2655987,0.8484849,39.18494,-2.818886,39.96423,-4.439293,63.42206,-33.8609
150,True,133,113,5402,33.5057,29.8123,0.02406516,0.849624,69.08566,-67.91389,68.6564,-66.20839,63.26042,-33.1407
151,True,134,114,1124,50.21633,44.70361,0.0,0.8507463,3.262619,-67.45429,4.990517,-67.38572,41.76327,-33.19024
152,True,135,115,3936,17.54337,27.60425,0.08536585,0.8518519,3.265823,-2.242561,4.998405,-2.316704,22.22656,-5.624588
153,True,135,115,20000,0,28.01917,0.0862,0.8518519,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
154,True,136,116,8258,60.93388,32.37697,0.1654154,0.8529412,68.60329,-67.4308,66.99033,-66.63729,40.69383,-11.6701
155,True,137,117,8742,28.01076,22.17557,0.2479982,0.8540146,67.8791,-2.791656,68.24655,-4.507095,41.82299,-13.80008
156,True,138,118,5500,48.49109,14.59297,0.708,0.8550724,68.62474,-2.579857,66.97697,-3.128098,20.56801,-17.18449
157,True,139,119,3770,68.88074,23.23269,0.3363395,0.8561151,3.16861,-2.817581,3.214798,-4.604568,48.86,-56.18914
158,True,140,120,1188,46.4439,54.00398,0.0,0.8571429,25.57458,-39.13204,24.90912,-40.80407,68.77307,-56.0679
159,True,141,121,18986,64.01736,16.59671,0.495207,0.858156,3.270988,-67.58507,4.485947,-66.35354,56.87088,-29.55709
160,True,142,122,9886,27.30387,12.5518,0.4806798,0.8591549,3.2966,-40.05841,4.985771,-39.54841,24.44067,-58.70586
161,True,143,123,1508,16.92195,37.72407,0.0,0.8601398,59.19275,-42.40381,57.39755,-42.65005,45.45964,-30.65685
162,True,144,124,3220,29.0723,19.88291,0.347205,0.8611111,43.95724,-2.809624,45.35143,-3.980385,50.94502,-32.50943
163,True,145,125,4544,52.4476,25.66042,0.06690141,0.862069,3.316551,-67.97552,4.604805,-66.75657,46.18912,-34.79672
164,True,146,126,13152,47.12997,22.49548,0.3631387,0.8630137,68.63443,-68.36095,66.89355,-68.45978,47.39063,-25.55526
165,True,147,127,16176,16.14825,21.30394,0.2010386,0.8639456,59.06206,-12.93819,57.80597,-12.24293,42.31925,-16.81592
166,True,148,128,2674,26.33398,19.03687,0.118923,0.8648649,68.60199,-29.10588,66.97511,-28.43088,61.04102,-2.774246
167,True,149,129,2374,35.38859,42.96629,0.0,0.8657718,47.97372,-2.802063,46.60094,-4.001663,41.0778,-38.95657
168,True,150,130,2592,62.71833,58.51362,0.0,0.8666667,3.280899,-3.835388,5.014442,-3.752762,44.75137,-52.27587
169,True,151,130,17150,2.692206,25.08635,0.1299125,0.8609272,34.44283,-10.93262,35.68143,-9.967545,38.34447,-10.36071
170,True,152,131,3212,50.67376,40.47883,0.0,0.8618421,3.309425,-5.839981,4.917534,-5.134079,52.57617,-22.35113
171,True,153,132,3486,13.67045,27.96053,0.0,0.8627451,15.50805,-2.824188,14.30193,-4.176636,19.0291,-17.00308
172,True,154,133,2242,32.94962,13.44565,0.5646744,0.8636364,9.089569,-28.49657,10.58405,-27.45366,41.36076,-15.68626
173,True,155,134,14980,64.91863,46.48052,0.03244326,0.8645161,68.62436,-67.7995,66.85559,-67.62126,64.46399,-2.746758
174,True,156,135,3026,55.8676,28.85802,0.2339722,0.8653846,41.26915,-14.19789,42.32379,-15.64702,11.10947,-61.98071
175,True,157,136,2642,61.66863,28.76987,0.1968206,0.8662421,68.61494,-60.53968,66.93646,-61.0117,15.93233,-26.34769
176,True,158,137,2404,29.10425,37.82371,0.0,0.8670886,35.01106,-54.44601,35.52368,-52.94184,19.16753,-28.86834
177,True,159,138,2236,21.55225,17.65092,0.3211091,0.8679245,63.64029,-24.48183,63.26096,-26.17401,51.80321,-44.42819
178,True,160,139,6728,64.14365,32.70736,0.0,0.86875,3.29821,-68.10409,5.055405,-67.81667,56.17928,-29.07792
179,True,161,140,2814,27.01439,23.58988,0.2004264,0.8695652,53.74037,-2.746216,52.21304,-3.808228,53.29831,-30.80071
180,True,162,141,4092,34.5966,27.74286,0.2101662,0.8703704,49.25912,-67.92259,49.31715,-66.16949,38.44041,-33.32729
