epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
159,True,149,119,3238,62.72495,46.64436,0.0,0.7986577,68.17752,-67.88676,68.83719,-66.26833,63.79948,-3.746162
160,True,149,119,20000,0,42.29535,0.1509,0.7986577,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
161,True,150,120,6044,65.92522,44.54366,0.0,0.8,2.74276,-2.785408,2.767395,-4.450539,68.66043,-6.508026
162,True,151,120,10068,4.285745,43.44027,0.0129122,0.794702,69.1553,-54.80121,69.04749,-56.82016,68.91632,-52.5365
163,True,151,120,20000,0,20.34915,0.3876,0.794702,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164,True,152,121,1720,37.02327,35.3915,0.0,0.7960526,22.71918,-37.75386,21.22862,-38.12606,56.9653,-28.45071
165,True,153,122,2070,57.28566,27.3753,0.1826087,0.7973856,3.267876,-67.78793,4.976448,-67.41021,62.2108,-64.98985
166,True,154,123,13622,35.32765,37.83872,0.03978858,0.7987013,3.273666,-68.33792,4.943001,-68.39098,8.664154,-33.2608
167,True,155,124,4128,58.1185,35.09119,0.1017442,0.8,2.972847,-2.795563,2.711807,-4.524948,53.14011,-33.41546
168,True,156,124,4992,3.043106,37.41635,0.2067308,0.7948718,53.12375,-13.88128,53.31653,-12.41936,50.82057,-14.15988
169,True,157,125,9344,30.03964,39.94351,0.09931507,0.7961783,3.266457,-68.38927,5.000595,-68.46163,27.32835,-48.36627
170,True,158,126,3894,69.24896,41.17827,0.0,0.7974684,3.264709,-68.32286,4.989929,-68.33582,28.65726,-3.256882
171,True,159,127,5322,56.13467,36.30106,0.0,0.7987421,68.61827,-2.455505,66.8618,-2.232445,14.41484,-22.24187
172,True,160,128,11338,30.58459,18.89818,0.1661669,0.8,20.7003,-35.40228,21.71145,-33.86207,40.85657,-10.01092
173,True,161,129,4686,47.26786,27.47159,0.0,0.8012422,68.63486,-2.445938,66.91354,-2.412697,22.9483,-19.77021
174,True,162,130,2726,55.37766,36.71376,0.0,0.8024691,68.62518,-68.00511,67.16946,-66.94485,25.98564,-29.92468
175,True,163,131,8470,41.4529,39.79821,0.1513577,0.803681,3.316368,-3.028587,5.103325,-2.878738,21.41933,-40.98496
176,True,164,132,5668,43.57229,40.32942,0.0,0.8048781,68.63261,-2.354836,66.92244,-2.362862,26.78527,-19.31942
177,True,165,133,122,62.62211,63.25462,0.0,0.8060606,7.627747,-5.799706,6.296288,-4.989357,68.66354,-10.63252
178,True,166,134,2184,78.98621,44.43774,0.0,0.8072289,3.309479,-67.92791,4.862389,-67.0475,64.65587,-15.43826
179,True,167,135,5560,33.87335,32.22145,0.0,0.8083832,39.17593,-2.776421,39.06215,-4.534485,40.51436,-38.37666
180,True,168,136,2954,27.04616,18.79257,0.3026405,0.8095238,3.310799,-2.484451,4.90107,-3.33831,31.9068,-4.807297
181,True,169,137,4042,33.15519,43.50894,0.0,0.8106509,68.87759,-2.801208,68.26613,-4.373024,46.55273,-29.42803
182,True,170,138,3094,56.98229,31.94203,0.0,0.8117647,3.0756,-25.69431,4.529129,-25.38404,51.03481,-58.31111
183,True,171,139,1150,51.39695,38.04998,0.0,0.8128655,67.99359,-68.27319,67.59178,-66.98717,45.62845,-20.5205
184,True,172,139,6604,3.402589,32.45517,0.0887341,0.8081396,60.91164,-2.497795,59.05905,-2.422165,62.17197,-3.795654
185,True,173,139,904,3.363724,23.92936,0.1924779,0.8034682,43.37915,-20.65639,43.7659,-22.43073,41.83559,-19.676
186,True,174,140,1010,34.50769,22.6925,0.0,0.8045977,45.30726,-14.18832,44.06997,-15.40844,11.63905,-27.19896
187,True,175,140,3608,10.35937,27.07369,0.1419069,0.8,68.61044,-4.076942,66.95251,-3.489014,65.16064,-13.69154
188,True,176,141,8024,39.68437,37.93841,0.05234297,0.8011364,68.80977,-67.93391,68.89178,-66.19344,58.22319,-27.9705
189,True,177,142,14332,63.58752,42.02878,0.1501535,0.8022599,3.588463,-68.50391,5.630676,-68.39359,68.67703,-60.11663
190,True,178,143,9170,37.26139,13.68852,0.5478735,0.8033708,65.92807,-67.8824,66.42812,-66.21009,57.34859,-30.07235
191,True,179,144,2924,38.54733,52.59813,0.0,0.8044693,3.278168,-2.53772,5.000061,-3.041,39.03793,-21.13089
192,True,180,145,4180,21.9535,43.70163,0.0,0.8055556,34.98656,-54.34921,36.4631,-53.05188,47.29008,-33.95401
193,True,181,146,1868,58.84808,29.51621,0.0,0.8066298,68.95018,-67.89667,68.49921,-66.21822,24.19918,-27.48117
194,True,182,146,3798,1.023987,31.76103,0.1764086,0.8021978,65.77057,-67.95125,67.27507,-66.88085,68.04001,-67.56118
195,True,183,147,1974,54.79741,26.10951,0.0,0.8032787,51.23288,-55.57217,49.7034,-54.79027,16.03545,-11.55601
196,True,184,148,3116,59.17751,53.13821,0.0,0.8043478,45.89944,-60.39812,44.75014,-58.68267,64.08963,-2.754662
197,True,185,148,3604,3.954826,37.96389,0.0954495,0.8,29.01217,-38.44645,30.33601,-37.25277,27.15601,-39.60382
198,True,185,148,20000,0,43.12004,0.0517,0.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
199,True,186,148,7080,5.516763,32.61782,0.03672316,0.7956989,28.15318,-41.77427,26.70383,-41.29575,23.12211,-37.10044
200,True,187,149,4574,39.6649,37.39324,0.0,0.7967914,2.846069,-2.796532,3.043175,-4.576416,22.84428,-38.94442
201,True,188,149,3656,3.896999,35.06401,0.0536105,0.7925532,65.50162,-28.09957,66.57532,-26.76444,63.43018,-29.06532
202,True,189,150,11264,47.22591,33.12511,0.02734375,0.7936508,3.275581,-68.42491,4.991486,-68.24818,42.50521,-39.56145
203,True,190,151,3672,47.10386,27.06252,0.1122004,0.7947369,68.60748,-28.49305,67.20007,-29.68364,21.93126,-16.66412
204,True,191,152,4550,35.98684,29.64414,0.1564835,0.7958115,3.267052,-2.691483,4.963806,-3.428757,37.3093,-19.20073
205,True,192,153,3654,17.22256,33.71379,0.0,0.796875,2.669342,-2.799355,3.025871,-4.51976,20.24715,-4.7099
206,True,193,154,1596,22.86502,30.24428,0.0,0.7979274,68.64816,-39.55647,66.87677,-39.51847,68.69522,-62.31094
207,True,194,155,1332,56.59144,23.78029,0.3528529,0.7989691,3.275963,-68.34013,5.023697,-68.36927,52.71577,-37.90653
208,True,195,156,11852,45.71528,24.48626,0.1105299,0.8,2.887611,-2.790504,2.989685,-4.570198,41.71857,-28.85732
209,True,196,157,8120,44.5352,20.57157,0.4098522,0.8010204,20.33779,-48.50729,20.86104,-46.81144,27.24507,-2.736397
210,True,197,158,6172,36.30774,35.3503,0.1523007,0.8020304,15.62177,-2.791557,15.33644,-4.473465,24.58295,-39.58368
211,True,198,159,4862,65.70858,32.15282,0.1316331,0.8030303,23.76869,-2.820717,22.47431,-4.120598,44.89997,-65.88387
212,True,199,160,8654,82.80533,36.55239,0.1622371,0.8040201,68.60622,-68.27769,67.00304,-67.66493,15.73191,-2.641907
213,True,200,161,11900,61.11801,38.98704,0.0,0.805,68.69492,-67.88271,67.9738,-66.32561,41.22583,-11.37189
214,True,201,162,6594,28.61359,37.97676,0.0,0.8059701,68.62738,-2.313171,66.88696,-2.365913,60.33595,-30.21889
215,True,202,163,3364,45.65771,27.23871,0.0,0.8069307,11.35439,-16.64555,12.0621,-18.27277,55.87039,-31.1359
216,True,203,164,1804,28.02676,39.03909,0.0,0.8078818,4.068115,-68.50684,6.057281,-68.52791,20.09556,-44.2712
217,True,204,165,872,47.50564,32.22582,0.0,0.8088235,29.71366,-53.2784,28.51736,-51.99447,16.84077,-5.946274
218,True,205,166,9214,63.43804,25.41354,0.2114174,0.8097561,53.37108,-67.90673,53.08098,-66.17067,52.24667,-2.738113
