[Inference] sequence_length_32_memory_size_64
[Episode 47] [capture] total_captures = 48, lone_wolf_captures = 41, prey_survived_step = 3783, predator_distance = 21.48224, avg_predator_distance = 3.741558, predator_proximity_rate = 0.9291568, score = 0.8541667
[Episode 48] [capture] total_captures = 49, lone_wolf_captures = 42, prey_survived_step = 2208, predator_distance = 29.18377, avg_predator_distance = 27.34228, predator_proximity_rate = 0, score = 0.8571429
[Episode 49] [capture] total_captures = 50, lone_wolf_captures = 43, prey_survived_step = 1917, predator_distance = 15.84824, avg_predator_distance = 5.141788, predator_proximity_rate = 0.7746479, score = 0.86
[Episode 50] [capture] total_captures = 51, lone_wolf_captures = 44, prey_survived_step = 1040, predator_distance = 18.97363, avg_predator_distance = 35.1927, predator_proximity_rate = 0, score = 0.8627451
[Episode 51] [capture] total_captures = 52, lone_wolf_captures = 45, prey_survived_step = 1141, predator_distance = 20.58256, avg_predator_distance = 28.66636, predator_proximity_rate = 0, score = 0.8653846
[Episode 52] [capture] total_captures = 53, lone_wolf_captures = 46, prey_survived_step = 589, predator_distance = 35.17469, avg_predator_distance = 29.86012, predator_proximity_rate = 0, score = 0.8679245
[Episode 53] [capture] total_captures = 54, lone_wolf_captures = 47, prey_survived_step = 1561, predator_distance = 46.81902, avg_predator_distance = 41.40136, predator_proximity_rate = 0, score = 0.8703704
[Episode 54] [capture] total_captures = 55, lone_wolf_captures = 48, prey_survived_step = 8845, predator_distance = 49.75266, avg_predator_distance = 41.38153, predator_proximity_rate = 0, score = 0.8727273
[Episode 55] [capture] total_captures = 56, lone_wolf_captures = 49, prey_survived_step = 4549, predator_distance = 10.7985, avg_predator_distance = 29.15979, predator_proximity_rate = 0.1503627, score = 0.875
[Episode 56] [capture] total_captures = 57, lone_wolf_captures = 50, prey_survived_step = 1037, predator_distance = 36.74985, avg_predator_distance = 40.24112, predator_proximity_rate = 0, score = 0.877193
[Episode 57] [capture] total_captures = 58, lone_wolf_captures = 51, prey_survived_step = 569, predator_distance = 8.516599, avg_predator_distance = 3.771362, predator_proximity_rate = 1, score = 0.8793104
[Episode 58] [capture] total_captures = 59, lone_wolf_captures = 52, prey_survived_step = 180, predator_distance = 25.35773, avg_predator_distance = 28.34865, predator_proximity_rate = 0, score = 0.8813559
[Episode 59] [capture] total_captures = 60, lone_wolf_captures = 53, prey_survived_step = 556, predator_distance = 16.60661, avg_predator_distance = 12.15038, predator_proximity_rate = 0.3003597, score = 0.8833333
[Episode 60] [capture] total_captures = 61, lone_wolf_captures = 54, prey_survived_step = 891, predator_distance = 23.27665, avg_predator_distance = 27.43795, predator_proximity_rate = 0, score = 0.8852459
[Episode 61] [capture] total_captures = 62, lone_wolf_captures = 54, prey_survived_step = 2397, predator_distance = 4.883361, avg_predator_distance = 20.78432, predator_proximity_rate = 0.05882353, score = 0.8709677
[Episode 62] [capture] total_captures = 63, lone_wolf_captures = 55, prey_survived_step = 3857, predator_distance = 22.40854, avg_predator_distance = 23.23049, predator_proximity_rate = 0.01037075, score = 0.8730159
[Episode 63] [capture] total_captures = 64, lone_wolf_captures = 56, prey_survived_step = 268, predator_distance = 37.06434, avg_predator_distance = 35.21076, predator_proximity_rate = 0, score = 0.875
[Episode 64] [capture] total_captures = 65, lone_wolf_captures = 57, prey_survived_step = 1909, predator_distance = 26.6581, avg_predator_distance = 16.01113, predator_proximity_rate = 0.1901519, score = 0.8769231
[Episode 65] [capture] total_captures = 66, lone_wolf_captures = 57, prey_survived_step = 470, predator_distance = 6.197901, avg_predator_distance = 10.95581, predator_proximity_rate = 0.1531915, score = 0.8636364
[Episode 66] [capture] total_captures = 67, lone_wolf_captures = 57, prey_survived_step = 679, predator_distance = 2.481808, avg_predator_distance = 16.50787, predator_proximity_rate = 0.1929308, score = 0.8507463
[Episode 67] [capture] total_captures = 68, lone_wolf_captures = 58, prey_survived_step = 161, predator_distance = 38.83353, avg_predator_distance = 40.27183, predator_proximity_rate = 0, score = 0.8529412
[Episode 68] [capture] total_captures = 69, lone_wolf_captures = 59, prey_survived_step = 1556, predator_distance = 16.53613, avg_predator_distance = 16.38645, predator_proximity_rate = 0.2114396, score = 0.8550724
[Episode 69] [capture] total_captures = 70, lone_wolf_captures = 60, prey_survived_step = 384, predator_distance = 19.62201, avg_predator_distance = 21.05653, predator_proximity_rate = 0, score = 0.8571429
[Episode 70] [capture] total_captures = 71, lone_wolf_captures = 61, prey_survived_step = 4778, predator_distance = 12.75201, avg_predator_distance = 32.70555, predator_proximity_rate = 0, score = 0.8591549
[Episode 71] [capture] total_captures = 72, lone_wolf_captures = 62, prey_survived_step = 184, predator_distance = 42.53176, avg_predator_distance = 42.3626, predator_proximity_rate = 0, score = 0.8611111
[Episode 72] [capture] total_captures = 73, lone_wolf_captures = 62, prey_survived_step = 6176, predator_distance = 2.583288, avg_predator_distance = 12.41807, predator_proximity_rate = 0.2920984, score = 0.849315
[Episode 73] [capture] total_captures = 74, lone_wolf_captures = 63, prey_survived_step = 1613, predator_distance = 30.74792, avg_predator_distance = 15.28811, predator_proximity_rate = 0, score = 0.8513514
[Episode 74] [capture] total_captures = 75, lone_wolf_captures = 64, prey_survived_step = 1392, predator_distance = 38.17246, avg_predator_distance = 19.41409, predator_proximity_rate = 0, score = 0.8533334
[Episode 75] [capture] total_captures = 76, lone_wolf_captures = 65, prey_survived_step = 738, predator_distance = 32.52663, avg_predator_distance = 22.78772, predator_proximity_rate = 0, score = 0.8552632
[Episode 76] [capture] total_captures = 77, lone_wolf_captures = 66, prey_survived_step = 4649, predator_distance = 33.55178, avg_predator_distance = 14.62041, predator_proximity_rate = 0.5239837, score = 0.8571429
[Episode 77] [capture] total_captures = 78, lone_wolf_captures = 66, prey_survived_step = 4488, predator_distance = 7.966818, avg_predator_distance = 3.75658, predator_proximity_rate = 0.910205, score = 0.8461539
[Episode 78] [capture] total_captures = 79, lone_wolf_captures = 67, prey_survived_step = 4177, predator_distance = 26.00515, avg_predator_distance = 32.11283, predator_proximity_rate = 0, score = 0.8481013
[Episode 79] [capture] total_captures = 80, lone_wolf_captures = 68, prey_survived_step = 4194, predator_distance = 18.76317, avg_predator_distance = 28.97001, predator_proximity_rate = 0, score = 0.85
[Episode 80] [capture] total_captures = 81, lone_wolf_captures = 69, prey_survived_step = 1575, predator_distance = 11.3837, avg_predator_distance = 22.78341, predator_proximity_rate = 0, score = 0.8518519
[Episode 81] [capture] total_captures = 82, lone_wolf_captures = 70, prey_survived_step = 314, predator_distance = 17.16208, avg_predator_distance = 20.13316, predator_proximity_rate = 0, score = 0.8536586
[Episode 82] [capture] total_captures = 83, lone_wolf_captures = 71, prey_survived_step = 8146, predator_distance = 20.13266, avg_predator_distance = 3.201238, predator_proximity_rate = 0.9608397, score = 0.8554217
[Episode 83] [capture] total_captures = 84, lone_wolf_captures = 72, prey_survived_step = 152, predator_distance = 20.55106, avg_predator_distance = 19.80028, predator_proximity_rate = 0, score = 0.8571429
[Episode 84] [capture] total_captures = 85, lone_wolf_captures = 73, prey_survived_step = 514, predator_distance = 11.23843, avg_predator_distance = 10.01878, predator_proximity_rate = 0.4357977, score = 0.8588235
