[Inference] gamma_0950
[Episode 46] [capture] total_captures = 46, lone_wolf_captures = 39, prey_survived_step = 184, predator_distance = 33.19261, avg_predator_distance = 36.27804, predator_proximity_rate = 0, score = 0.8478261
[Episode 47] [capture] total_captures = 47, lone_wolf_captures = 40, prey_survived_step = 3578, predator_distance = 35.36872, avg_predator_distance = 33.95429, predator_proximity_rate = 0, score = 0.8510638
[Episode 48] [capture] total_captures = 48, lone_wolf_captures = 41, prey_survived_step = 1986, predator_distance = 46.86338, avg_predator_distance = 31.60871, predator_proximity_rate = 0, score = 0.8541667
[Episode 49] [capture] total_captures = 49, lone_wolf_captures = 42, prey_survived_step = 2659, predator_distance = 18.39224, avg_predator_distance = 8.343106, predator_proximity_rate = 0.6344491, score = 0.8571429
[Episode 50] [capture] total_captures = 50, lone_wolf_captures = 43, prey_survived_step = 226, predator_distance = 24.9166, avg_predator_distance = 18.43672, predator_proximity_rate = 0, score = 0.86
[Episode 51] [capture] total_captures = 51, lone_wolf_captures = 44, prey_survived_step = 1175, predator_distance = 25.82221, avg_predator_distance = 25.52919, predator_proximity_rate = 0, score = 0.8627451
[Episode 52] [capture] total_captures = 52, lone_wolf_captures = 45, prey_survived_step = 1285, predator_distance = 24.02323, avg_predator_distance = 29.34541, predator_proximity_rate = 0, score = 0.8653846
[Episode 53] [capture] total_captures = 53, lone_wolf_captures = 46, prey_survived_step = 59, predator_distance = 16.36588, avg_predator_distance = 14.50367, predator_proximity_rate = 0, score = 0.8679245
[Episode 54] [capture] total_captures = 54, lone_wolf_captures = 47, prey_survived_step = 2461, predator_distance = 40.65907, avg_predator_distance = 13.43551, predator_proximity_rate = 0.3575782, score = 0.8703704
[Episode 55] [capture] total_captures = 55, lone_wolf_captures = 48, prey_survived_step = 244, predator_distance = 15.37259, avg_predator_distance = 17.53942, predator_proximity_rate = 0, score = 0.8727273
[Episode 56] [capture] total_captures = 56, lone_wolf_captures = 49, prey_survived_step = 85, predator_distance = 18.29491, avg_predator_distance = 17.93093, predator_proximity_rate = 0, score = 0.875
[Episode 57] [capture] total_captures = 57, lone_wolf_captures = 50, prey_survived_step = 617, predator_distance = 14.16672, avg_predator_distance = 17.02755, predator_proximity_rate = 0, score = 0.877193
[Episode 58] [capture] total_captures = 58, lone_wolf_captures = 51, prey_survived_step = 1490, predator_distance = 10.51334, avg_predator_distance = 10.34262, predator_proximity_rate = 0.4228188, score = 0.8793104
[Episode 59] [capture] total_captures = 59, lone_wolf_captures = 52, prey_survived_step = 797, predator_distance = 17.10271, avg_predator_distance = 26.11106, predator_proximity_rate = 0, score = 0.8813559
[Episode 60] [capture] total_captures = 60, lone_wolf_captures = 53, prey_survived_step = 7988, predator_distance = 25.17298, avg_predator_distance = 18.62048, predator_proximity_rate = 0.2895593, score = 0.8833333
[Episode 61] [capture] total_captures = 61, lone_wolf_captures = 53, prey_survived_step = 5689, predator_distance = 3.817113, avg_predator_distance = 12.04101, predator_proximity_rate = 0.4471788, score = 0.8688524
[Episode 62] [capture] total_captures = 62, lone_wolf_captures = 54, prey_survived_step = 1353, predator_distance = 16.26195, avg_predator_distance = 25.08982, predator_proximity_rate = 0, score = 0.8709677
[Episode 63] [capture] total_captures = 63, lone_wolf_captures = 55, prey_survived_step = 2843, predator_distance = 33.07743, avg_predator_distance = 20.03259, predator_proximity_rate = 0.1234611, score = 0.8730159
