[Inference] c9_r2
[Episode 59] [capture] total_captures = 59, lone_wolf_captures = 53, prey_survived_step = 145, predator_distance = 26.92251, avg_predator_distance = 24.63953, predator_proximity_rate = 0, score = 0.8983051
[Episode 60] [capture] total_captures = 60, lone_wolf_captures = 53, prey_survived_step = 280, predator_distance = 4.41994, avg_predator_distance = 8.206223, predator_proximity_rate = 0.5964286, score = 0.8833333
[Episode 61] [capture] total_captures = 61, lone_wolf_captures = 54, prey_survived_step = 1830, predator_distance = 23.77884, avg_predator_distance = 33.4661, predator_proximity_rate = 0, score = 0.8852459
[Episode 62] [capture] total_captures = 62, lone_wolf_captures = 55, prey_survived_step = 1251, predator_distance = 31.61784, avg_predator_distance = 29.89532, predator_proximity_rate = 0, score = 0.8870968
[Episode 63] [capture] total_captures = 63, lone_wolf_captures = 56, prey_survived_step = 416, predator_distance = 19.74593, avg_predator_distance = 21.61824, predator_proximity_rate = 0, score = 0.8888889
[Episode 64] [capture] total_captures = 64, lone_wolf_captures = 57, prey_survived_step = 1043, predator_distance = 19.73305, avg_predator_distance = 29.04877, predator_proximity_rate = 0, score = 0.890625
[Episode 65] [capture] total_captures = 65, lone_wolf_captures = 57, prey_survived_step = 331, predator_distance = 7.546163, avg_predator_distance = 4.860639, predator_proximity_rate = 1, score = 0.8769231
[Episode 66] [capture] total_captures = 66, lone_wolf_captures = 58, prey_survived_step = 931, predator_distance = 24.48481, avg_predator_distance = 23.63168, predator_proximity_rate = 0, score = 0.8787879
[Episode 67] [capture] total_captures = 67, lone_wolf_captures = 59, prey_survived_step = 1, predator_distance = 21.36487, avg_predator_distance = 21.43006, predator_proximity_rate = 0, score = 0.880597
[Episode 68] [capture] total_captures = 68, lone_wolf_captures = 60, prey_survived_step = 98, predator_distance = 20.8694, avg_predator_distance = 18.83356, predator_proximity_rate = 0, score = 0.8823529
[Episode 69] [capture] total_captures = 69, lone_wolf_captures = 61, prey_survived_step = 899, predator_distance = 20.58411, avg_predator_distance = 34.40222, predator_proximity_rate = 0, score = 0.884058
[Episode 70] [capture] total_captures = 70, lone_wolf_captures = 61, prey_survived_step = 696, predator_distance = 6.69854, avg_predator_distance = 19.42053, predator_proximity_rate = 0.1853448, score = 0.8714285
[Episode 71] [capture] total_captures = 71, lone_wolf_captures = 62, prey_survived_step = 1345, predator_distance = 8.70309, avg_predator_distance = 18.04169, predator_proximity_rate = 0.1122677, score = 0.8732395
[Episode 72] [capture] total_captures = 72, lone_wolf_captures = 63, prey_survived_step = 810, predator_distance = 13.8266, avg_predator_distance = 19.42225, predator_proximity_rate = 0, score = 0.875
[Episode 73] [capture] total_captures = 73, lone_wolf_captures = 64, prey_survived_step = 112, predator_distance = 19.7755, avg_predator_distance = 18.37189, predator_proximity_rate = 0, score = 0.8767123
[Episode 74] [capture] total_captures = 74, lone_wolf_captures = 65, prey_survived_step = 492, predator_distance = 28.50104, avg_predator_distance = 22.73356, predator_proximity_rate = 0, score = 0.8783784
[Episode 75] [capture] total_captures = 75, lone_wolf_captures = 66, prey_survived_step = 1672, predator_distance = 31.20766, avg_predator_distance = 27.82223, predator_proximity_rate = 0, score = 0.88
[Episode 76] [capture] total_captures = 76, lone_wolf_captures = 66, prey_survived_step = 280, predator_distance = 2.027981, avg_predator_distance = 11.24741, predator_proximity_rate = 0.3285714, score = 0.8684211
[Episode 77] [capture] total_captures = 77, lone_wolf_captures = 67, prey_survived_step = 476, predator_distance = 26.57566, avg_predator_distance = 34.68524, predator_proximity_rate = 0, score = 0.8701299
[Episode 78] [capture] total_captures = 78, lone_wolf_captures = 68, prey_survived_step = 541, predator_distance = 26.5037, avg_predator_distance = 36.09478, predator_proximity_rate = 0, score = 0.8717949
[Episode 79] [capture] total_captures = 79, lone_wolf_captures = 69, prey_survived_step = 1555, predator_distance = 16.19623, avg_predator_distance = 15.8799, predator_proximity_rate = 0.09967846, score = 0.8734177
[Episode 80] [capture] total_captures = 80, lone_wolf_captures = 69, prey_survived_step = 1506, predator_distance = 2.021863, avg_predator_distance = 13.17463, predator_proximity_rate = 0.1826029, score = 0.8625
[Episode 81] [capture] total_captures = 81, lone_wolf_captures = 70, prey_survived_step = 199, predator_distance = 36.58102, avg_predator_distance = 36.01083, predator_proximity_rate = 0, score = 0.8641976
[Episode 82] [capture] total_captures = 82, lone_wolf_captures = 71, prey_survived_step = 822, predator_distance = 36.75573, avg_predator_distance = 34.11975, predator_proximity_rate = 0, score = 0.8658537
[Episode 83] [capture] total_captures = 83, lone_wolf_captures = 72, prey_survived_step = 398, predator_distance = 11.71169, avg_predator_distance = 8.505942, predator_proximity_rate = 0.8140703, score = 0.8674699
[Episode 84] [capture] total_captures = 84, lone_wolf_captures = 73, prey_survived_step = 98, predator_distance = 38.65014, avg_predator_distance = 40.74628, predator_proximity_rate = 0, score = 0.8690476
[Episode 85] [capture] total_captures = 85, lone_wolf_captures = 74, prey_survived_step = 983, predator_distance = 21.50127, avg_predator_distance = 24.87572, predator_proximity_rate = 0, score = 0.8705882
[Episode 86] [capture] total_captures = 86, lone_wolf_captures = 75, prey_survived_step = 1073, predator_distance = 42.40569, avg_predator_distance = 28.47225, predator_proximity_rate = 0, score = 0.872093
[Episode 87] [capture] total_captures = 87, lone_wolf_captures = 76, prey_survived_step = 1196, predator_distance = 11.36331, avg_predator_distance = 6.392337, predator_proximity_rate = 0.7107024, score = 0.8735632
[Episode 88] [capture] total_captures = 88, lone_wolf_captures = 77, prey_survived_step = 138, predator_distance = 16.00641, avg_predator_distance = 20.86915, predator_proximity_rate = 0, score = 0.875
[Episode 89] [capture] total_captures = 89, lone_wolf_captures = 78, prey_survived_step = 452, predator_distance = 25.93582, avg_predator_distance = 28.03262, predator_proximity_rate = 0, score = 0.8764045
[Episode 90] [capture] total_captures = 90, lone_wolf_captures = 79, prey_survived_step = 2178, predator_distance = 21.35977, avg_predator_distance = 27.66485, predator_proximity_rate = 0, score = 0.8777778
[Episode 91] [capture] total_captures = 91, lone_wolf_captures = 80, prey_survived_step = 42, predator_distance = 31.80483, avg_predator_distance = 31.70542, predator_proximity_rate = 0, score = 0.8791209
[Episode 92] [capture] total_captures = 92, lone_wolf_captures = 80, prey_survived_step = 1117, predator_distance = 7.612149, avg_predator_distance = 17.53926, predator_proximity_rate = 0.08057296, score = 0.8695652
[Episode 93] [capture] total_captures = 93, lone_wolf_captures = 81, prey_survived_step = 456, predator_distance = 20.72095, avg_predator_distance = 21.18803, predator_proximity_rate = 0, score = 0.8709677
[Episode 94] [capture] total_captures = 94, lone_wolf_captures = 82, prey_survived_step = 1134, predator_distance = 9.158897, avg_predator_distance = 18.06837, predator_proximity_rate = 0.03527337, score = 0.8723404
[Episode 95] [capture] total_captures = 95, lone_wolf_captures = 83, prey_survived_step = 1614, predator_distance = 15.91289, avg_predator_distance = 14.67496, predator_proximity_rate = 0, score = 0.8736842
[Episode 96] [capture] total_captures = 96, lone_wolf_captures = 83, prey_survived_step = 4457, predator_distance = 3.389191, avg_predator_distance = 2.919994, predator_proximity_rate = 1, score = 0.8645833
[Episode 97] [capture] total_captures = 97, lone_wolf_captures = 84, prey_survived_step = 314, predator_distance = 17.75699, avg_predator_distance = 20.27992, predator_proximity_rate = 0, score = 0.8659794
[Episode 98] [capture] total_captures = 98, lone_wolf_captures = 85, prey_survived_step = 939, predator_distance = 39.11002, avg_predator_distance = 35.57095, predator_proximity_rate = 0, score = 0.8673469
[Episode 99] [capture] total_captures = 99, lone_wolf_captures = 86, prey_survived_step = 386, predator_distance = 31.77339, avg_predator_distance = 30.5781, predator_proximity_rate = 0, score = 0.8686869
[Episode 100] [capture] total_captures = 100, lone_wolf_captures = 87, prey_survived_step = 104, predator_distance = 23.77856, avg_predator_distance = 22.58188, predator_proximity_rate = 0, score = 0.87
[Episode 101] [capture] total_captures = 101, lone_wolf_captures = 88, prey_survived_step = 1758, predator_distance = 27.72931, avg_predator_distance = 17.80006, predator_proximity_rate = 0, score = 0.8712871
[Episode 102] [capture] total_captures = 102, lone_wolf_captures = 89, prey_survived_step = 718, predator_distance = 27.07614, avg_predator_distance = 31.79668, predator_proximity_rate = 0, score = 0.872549
[Episode 103] [capture] total_captures = 103, lone_wolf_captures = 90, prey_survived_step = 1120, predator_distance = 6.540116, avg_predator_distance = 6.872439, predator_proximity_rate = 0.7107143, score = 0.8737864
[Episode 104] [capture] total_captures = 104, lone_wolf_captures = 90, prey_survived_step = 1628, predator_distance = 2.022797, avg_predator_distance = 5.811188, predator_proximity_rate = 0.9404177, score = 0.8653846
