epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
88,True,82,69,1576,23.13764,22.38507,0.0,0.8414634,68.60397,-55.35068,66.91545,-55.95634,44.10138,-52.10133
89,True,83,70,8452,58.66495,25.14704,0.208708,0.8433735,3.26786,-4.548035,5.014793,-4.574677,58.5755,-28.50765
90,True,84,71,946,35.51288,30.90552,0.0,0.8452381,41.15457,-26.42903,42.86899,-26.88609,22.15891,-55.73481
91,True,85,72,11502,42.81126,11.74791,0.6970962,0.8470588,46.27708,-2.777344,44.85204,-3.827179,48.20428,-46.50697
92,True,86,73,208,47.14964,52.99744,0.0,0.8488372,11.14371,-38.45271,9.767845,-39.59323,51.27951,-61.95093
93,True,87,74,1186,38.81731,53.69288,0.0,0.8505747,17.30587,-40.62637,17.7241,-42.32697,19.84929,-3.568184
94,True,87,74,20000,0,19.04812,0.5018,0.8505747,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
95,True,88,75,10034,35.69725,21.52585,0.3671517,0.8522727,50.4122,-14.52303,49.8019,-16.11172,15.94787,-4.790222
96,True,89,76,2506,36.5426,29.34713,0.0,0.8539326,40.46617,-29.09155,41.17261,-30.74245,5.86248,-40.15215
97,True,90,77,1166,25.67405,40.41431,0.0,0.8555555,27.87343,-67.86357,26.82294,-66.72858,52.44203,-65.05476
98,True,91,78,3068,32.83321,10.96183,0.7588005,0.8571429,68.62004,-34.52322,66.90532,-34.52978,39.25422,-52.2339
99,True,92,79,3490,46.62794,22.32287,0.2687679,0.8586956,55.18382,-47.4668,53.63919,-48.42819,8.275887,-59.21128
100,True,93,80,2150,43.04504,40.10382,0.0,0.8602151,68.59846,-67.7682,67.39941,-66.41853,48.61205,-27.69059
101,True,94,81,13850,27.32165,6.578587,0.8281589,0.8617021,22.49259,-67.91679,22.51559,-66.15049,44.13873,-49.45037
102,True,95,82,6566,60.83303,26.6144,0.3137374,0.8631579,68.5961,-68.22713,67.29965,-66.9502,43.11574,-11.13126
103,True,96,83,3006,36.22646,17.17458,0.3253493,0.8645833,68.59885,-67.67366,68.04291,-66.31694,53.83224,-32.99495
104,True,97,84,6098,37.66554,10.16805,0.7815678,0.8659794,14.03827,-2.817818,14.55811,-4.522522,10.62362,-41.98161
105,True,98,85,9916,49.29197,9.707675,0.831787,0.8673469,29.10683,-2.416702,30.9146,-2.678864,34.99626,-51.80133
106,True,99,86,2356,35.36915,39.83118,0.0,0.8686869,19.63466,-26.30278,20.04842,-28.04576,55.26035,-31.37622
107,True,99,86,20000,0,25.0622,0.5153,0.8686869,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
108,True,99,86,20000,0,18.74208,0.5004,0.8686869,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
109,True,100,86,4896,3.743866,16.02995,0.4330065,0.86,3.307854,-20.75703,4.998886,-20.21931,8.651184,-19.39889
110,True,101,87,3878,52.4625,20.44308,0.3305828,0.8613861,21.5798,-68.49931,23.36623,-68.33215,60.59009,-31.36372
111,True,102,88,11068,18.57789,6.418987,0.85309,0.8627451,59.55397,-12.77155,58.1638,-12.50796,65.66595,-29.5037
112,True,103,89,3016,31.56562,39.25218,0.0,0.8640777,3.286919,-2.855125,4.777748,-3.896179,21.24852,-30.82269
113,True,104,90,5142,50.66133,30.00274,0.04628549,0.8653846,53.60248,-67.92515,53.6367,-66.27296,37.05399,-18.40253
114,True,104,90,20000,0,24.78247,0.1661,0.8653846,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
115,True,104,90,20000,0,19.31672,0.513,0.8653846,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
116,True,105,91,17426,11.40038,10.11411,0.7469299,0.8666667,9.178474,-2.786415,7.720062,-3.897346,3.081528,-14.31137
117,True,106,92,1780,51.17333,37.91728,0.0,0.8679245,55.46112,-67.90497,55.31435,-66.20393,36.67015,-18.54789
118,True,107,93,1710,43.41534,34.29432,0.0,0.8691589,3.323563,-2.851967,4.519501,-3.814629,44.14429,-21.55293
119,True,108,94,12104,56.20472,43.2957,0.03833444,0.8703704,13.49721,-3.369499,14.33362,-4.585541,42.24184,-53.37156
120,True,109,95,4646,40.0355,33.92371,0.0,0.8715596,3.257866,-3.047722,4.858086,-3.970093,42.40369,-17.86487
121,True,110,95,3492,5.129762,9.437863,0.6134021,0.8636364,37.97365,-22.2113,39.32677,-21.14946,43.1109,-17.68653
122,True,110,95,20000,0,27.12362,0.1877,0.8636364,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
123,True,111,96,2254,58.8252,37.6521,0.0,0.8648649,67.6012,-67.8839,68.72864,-66.47388,9.931084,-64.67156
124,True,112,96,2518,2.493949,23.26649,0.08181096,0.8571429,56.88419,-38.22643,55.48639,-37.16541,53.57333,-38.76534
125,True,112,96,20000,0,20.9762,0.404,0.8571429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
126,True,112,96,20000,0,39.91058,0.0,0.8571429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
127,True,113,97,386,26.29169,26.92078,0.0,0.8584071,21.65819,-67.90236,21.2272,-66.21091,41.06398,-48.9557
128,True,114,97,16270,4.567461,21.27956,0.408236,0.8508772,3.28801,-4.604477,4.991302,-4.362381,9.554321,-4.554901
129,True,115,98,2792,14.44057,14.56724,0.3904012,0.8521739,30.57328,-16.40608,28.72085,-16.39457,23.55364,-29.87881
130,True,116,99,13220,55.96108,35.82599,0.09349471,0.8534483,68.50705,-67.91683,67.39951,-66.59119,24.21815,-30.99715
131,True,117,100,7982,11.77427,3.081427,1.0,0.8547009,67.99254,-40.12621,67.21767,-38.41773,56.31873,-33.9638
132,True,118,101,1808,40.85444,38.8418,0.0,0.8559322,68.62393,-2.534119,66.91707,-2.905952,46.35945,-38.21099
133,True,119,102,1832,31.53101,37.13676,0.0,0.8571429,12.82296,-22.40797,14.1651,-22.84388,45.16924,-17.1042
134,True,120,102,15058,6.257757,10.09251,0.7031478,0.85,22.51476,-53.26038,22.06307,-51.49664,24.27588,-45.64334
135,True,120,102,20000,0,23.50482,0.2435,0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
