epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
144,True,132,122,2292,50.30265,25.68896,0.0,0.9242424,3.267189,-68.11024,5.050072,-67.96714,51.30077,-48.19069
145,True,133,123,7914,52.8088,27.0031,0.1587061,0.924812,20.01538,-56.51886,20.7598,-54.75294,3.249672,-4.931999
146,True,134,124,8006,29.96973,23.2798,0.2672995,0.9253731,19.0966,-31.12371,20.71483,-30.47735,50.67485,-31.2375
147,True,135,125,5246,29.07129,37.3024,0.0133435,0.9259259,33.27802,-2.8265,33.66557,-4.540863,41.91844,-32.4157
148,True,135,125,20000,0,37.64987,0.105,0.9259259,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
149,True,136,126,1744,74.27876,58.0477,0.0,0.9264706,68.63715,-67.97809,66.98749,-67.19894,30.09631,-2.728996
150,True,137,127,3190,27.20191,22.75395,0.0,0.9270073,58.89323,-2.826988,57.51151,-4.082733,54.7915,-31.14814
151,True,137,127,20000,0,32.58317,0.1917,0.9270073,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152,True,138,128,9140,62.39313,34.81457,0.05995624,0.9275362,23.47301,-20.25845,25.03342,-19.34547,68.66716,-63.94344
153,True,138,128,20000,0,38.33892,0.0267,0.9275362,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
154,True,139,129,4384,37.33947,44.85137,0.0,0.9280576,24.76202,-55.87867,23.14294,-55.26116,51.44409,-30.90398
155,True,140,130,6632,73.72955,23.30246,0.1278649,0.9285714,3.284225,-20.36308,4.920601,-19.97853,67.84216,-58.40928
156,True,141,131,5042,42.93425,34.14375,0.109877,0.929078,37.32335,-38.68038,38.65483,-37.46115,68.82135,-68.0102
157,True,142,132,5484,37.96689,35.82248,0.0,0.9295775,68.18692,-41.15027,66.30859,-41.2069,43.84558,-10.59812
158,True,143,133,2960,18.26172,43.46947,0.0,0.9300699,52.10446,-25.8935,50.3815,-26.24743,68.64276,-26.28911
159,True,144,134,758,13.60112,12.62519,0.525066,0.9305556,68.59624,-55.15522,67.09949,-56.08289,53.96768,-59.62183
160,True,144,134,20000,0,53.79636,0.0,0.9305556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
161,True,145,135,2876,50.03568,55.8379,0.0,0.9310345,68.59796,-19.40434,66.98874,-18.59083,22.56622,-41.61708
162,True,146,136,1136,43.56326,31.96923,0.0,0.9315069,68.26987,-68.47192,66.55478,-68.40363,65.94202,-24.84516
163,True,147,137,4518,36.68573,29.5933,0.1106684,0.9319728,68.5596,-2.785286,68.31708,-4.500633,31.67282,-2.756676
164,True,148,138,15278,71.64716,31.83533,0.1386307,0.9324324,68.63286,-68.23515,66.92242,-68.07978,37.91492,-2.567421
165,True,149,139,14290,50.02213,30.5339,0.0,0.9328859,21.80833,-29.69994,21.95027,-27.87794,65.20609,-2.755478
166,True,150,140,3360,23.25927,12.52428,0.5196428,0.9333333,68.62103,-25.96749,66.84811,-25.97937,43.98723,-21.69481
167,True,151,141,3708,52.41294,14.19796,0.6283711,0.9337748,64.47516,-38.15339,63.21286,-39.46354,23.88153,-4.820305
168,True,152,142,7904,15.81885,25.58461,0.02884615,0.9342105,55.93019,-45.82732,54.51921,-45.67625,57.50572,-30.14219
169,True,153,143,1032,44.70164,42.20303,0.0,0.9346405,2.903999,-15.12199,3.232475,-16.9463,47.45996,-23.43385
170,True,154,144,2186,57.63308,43.96877,0.0,0.9350649,68.60251,-57.92918,67.21469,-57.91301,50.56383,-2.737663
171,True,155,145,1866,27.85432,19.60889,0.0,0.9354839,68.61621,-58.82021,66.97513,-58.21529,39.12587,-57.68423
172,True,156,146,15424,39.05129,54.6389,0.0,0.9358974,26.80962,-23.25802,26.52209,-21.45004,60.79744,-2.736397
173,True,157,147,666,41.09589,25.15234,0.0,0.9363058,68.60365,-38.0765,67.25015,-36.95242,30.34668,-18.86918
174,True,158,148,7454,65.66413,33.50183,0.0,0.9367089,2.886871,-67.89609,3.520248,-66.18647,53.11139,-23.14669
175,True,158,148,20000,0,35.60023,0.0215,0.9367089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
176,True,159,149,2590,64.30138,43.60085,0.0,0.9371069,43.18219,-67.26715,42.15945,-66.14002,23.30643,-4.664612
177,True,160,150,6482,63.71377,43.51843,0.0,0.9375,43.45195,-58.48334,41.94754,-57.46548,3.238914,-6.858582
178,True,161,151,4098,88.87738,41.04232,0.0,0.9378882,68.84386,-67.90461,67.87521,-66.37859,3.234406,-5.3806
179,True,162,152,5680,13.34748,23.49991,0.08204225,0.9382716,42.99876,-57.48079,44.43427,-56.44613,57.29831,-60.00564
180,True,163,153,1370,17.09459,25.7614,0.0,0.9386503,55.01985,-68.25054,56.80139,-67.83615,39.70709,-67.9323
181,True,164,154,1732,46.17586,34.03011,0.0,0.9390244,68.62363,-67.88464,68.76816,-66.15414,22.95551,-60.37553
182,True,165,155,3682,30.57562,19.25344,0.1080934,0.9393939,57.37112,-61.42071,58.0871,-59.72206,58.29144,-29.1472
183,True,166,156,8464,52.02679,26.05133,0.05789225,0.939759,2.952408,-14.38846,3.331589,-16.16614,8.163864,-67.968
184,True,167,157,6296,31.6442,19.59066,0.3707116,0.9401197,28.21506,-34.38455,29.76955,-34.91785,25.92768,-3.508553
185,True,168,157,952,9.478914,29.28446,0.1344538,0.9345238,68.03372,-39.47358,66.12524,-39.75359,61.52066,-31.4684
186,True,169,158,1840,51.82136,59.09869,0.0,0.9349113,65.23505,-16.24942,63.49149,-15.65119,21.14056,-45.51503
